id,rank,frequency,active_count,ablation_mse_increase,additive_benefit_share,output_energy
1066,64,0.0004110926500059951,24,3.5464200401054846e-05,6.873465293799027e-05,3.389467186091915e-05
1651,32,0.00015415974375224817,9,4.4906981639958766e-05,6.867825727646463e-05,5.3238598771649946e-05
727,64,0.00029119062708757987,17,4.0015898519473745e-05,6.865535294124565e-05,3.6863448638995734e-05
380,128,0.00044535037083982804,26,2.65813919200908e-05,6.862838539650533e-05,3.453722129743106e-05
1542,32,0.0004967369520905774,29,2.9154315373138817e-05,6.86043529409495e-05,4.3534170490679226e-05
1065,64,0.0005309946729244103,31,3.834762698473097e-05,6.848311296577878e-05,3.560255212473115e-05
2317,32,0.0010448604854319042,61,1.4554086989386692e-05,6.826518602868098e-05,1.4989020855198992e-05
2461,32,0.0004110926500059951,24,3.704303676701734e-05,6.812344623288072e-05,4.9824035191584546e-05
1976,32,0.00029119062708757987,17,2.7263062998589414e-05,6.798904478609843e-05,2.4958786072342808e-05
2153,32,0.00037683492917216216,22,3.51334767100994e-05,6.781191256667261e-05,3.485230391461003e-05
2361,32,0.0005309946729244103,31,3.196311058317904e-05,6.771903499057518e-05,3.4898188010395925e-05
209,256,0.00037683492917216216,22,3.756267714767102e-05,6.765373423083269e-05,3.310931643487999e-05
106,256,0.00029119062708757987,17,3.490914265209919e-05,6.759823068318754e-05,4.445990093753148e-05
1881,32,0.0003597060687552457,21,3.234887121168087e-05,6.745256143403439e-05,3.0420137379569313e-05
741,64,0.0004110926500059951,24,4.330250259881699e-05,6.743856808534936e-05,4.15795471895264e-05
1060,64,0.00015415974375224817,9,3.7450212470649705e-05,6.723570297268218e-05,4.515301701188674e-05
890,64,0.00029119062708757987,17,3.480761072995886e-05,6.68094402533266e-05,2.4064327415088895e-05
654,64,0.00010277316250149878,6,4.55307789703706e-05,6.671528186673876e-05,3.531685742242178e-05
22,512,0.00018841746458608108,11,3.6893403263037804e-05,6.664151844474302e-05,2.9567847979877153e-05
2025,32,0.00020554632500299755,12,3.827871325547697e-05,6.657993314540435e-05,3.685235489154143e-05
2117,32,0.00030831948750449634,18,4.2408073996062496e-05,6.657076124550955e-05,3.9032837309157544e-05
1640,32,0.00037683492917216216,22,3.4927403816994105e-05,6.65056307055083e-05,2.898133698887816e-05
1457,32,0.0004624792312567445,27,3.109396653725978e-05,6.647675186041687e-05,2.3115810412496945e-05
62,512,0.00030831948750449634,18,3.626981990024264e-05,6.6184915866998e-05,4.4069227923433126e-05
248,128,0.00030831948750449634,18,3.963766619212148e-05,6.58627051929007e-05,4.8277454363274935e-05
873,64,0.0003254483479214128,19,3.7980023925625525e-05,6.576232637459952e-05,4.2184773519316404e-05
1164,64,0.00044535037083982804,26,3.5858452050182675e-05,6.549172639373088e-05,3.240838573124399e-05
631,64,0.0002398040458368305,14,3.426653046485538e-05,6.529857822253953e-05,2.712003302327902e-05
292,128,0.0003254483479214128,19,3.7764332322887626e-05,6.499152143704899e-05,3.091468073453074e-05
1466,32,0.00042822151042291157,25,2.97344951317858e-05,6.460487355536767e-05,2.797156267585466e-05
329,128,0.00030831948750449634,18,3.3506121843059365e-05,6.455965777754735e-05,3.831777011757448e-05
1407,32,0.0003254483479214128,19,3.27570501086608e-05,6.388735091628215e-05,3.1543978408434105e-05
620,64,0.0003254483479214128,19,3.605618427412391e-05,6.388531822861259e-05,3.4906346703075545e-05
689,64,0.0004110926500059951,24,3.322723295980991e-05,6.388042760901698e-05,2.858725402062832e-05
1695,32,0.0003254483479214128,19,2.782064548741407e-05,6.365238723350532e-05,3.541743761874718e-05
